epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
44,7926.87,1.23464,2.27198,0.94862,1.0867,0,0.5845,0.43474,0.43358,0.27727,0.5443,0.39739,0.37341,0.16756,1.40153,2.52134,1.09421,1.13514,0,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162
45,8660.98,1.21874,2.2372,0.93753,1.07839,0,0.59328,0.43371,0.4363,0.27915,0.54123,0.3947,0.37165,0.16684,1.39677,2.50673,1.10077,1.13092,0,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096
46,9384.81,1.2217,2.24085,0.93475,1.08051,0,0.59546,0.43478,0.43819,0.28012,0.55254,0.39305,0.37545,0.1685,1.39954,2.49863,1.08458,1.13374,0,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
47,10119.9,1.22322,2.24365,0.93235,1.07954,0,0.5958,0.43507,0.43754,0.27928,0.55072,0.39265,0.37341,0.16869,1.40179,2.51139,1.08751,1.13623,0,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964
48,10862.4,1.21472,2.23007,0.92664,1.07778,0,0.58988,0.43567,0.43608,0.27863,0.54196,0.39148,0.36997,0.1659,1.40042,2.51403,1.08866,1.13516,0,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898
49,11614.7,1.20798,2.22449,0.91794,1.07531,0,0.59599,0.43289,0.43665,0.27865,0.55508,0.39173,0.37152,0.16739,1.39974,2.49575,1.08518,1.13428,0,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
50,12363.2,1.20791,2.21938,0.91598,1.0712,0,0.59725,0.43715,0.43816,0.2796,0.54574,0.3962,0.37159,0.16782,1.3993,2.49421,1.08314,1.1355,0,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766
51,13121.4,1.20745,2.21666,0.91537,1.07091,0,0.60563,0.43398,0.43813,0.28026,0.5542,0.39263,0.37143,0.1671,1.40264,2.52228,1.08281,1.13611,0,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
52,13884.7,1.20403,2.20887,0.91131,1.07125,0,0.60404,0.43563,0.43638,0.27798,0.55593,0.39436,0.37211,0.16704,1.40492,2.4982,1.08368,1.14083,0,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
53,14653.1,1.19659,2.19736,0.89886,1.06658,0,0.60155,0.43567,0.43953,0.28053,0.55324,0.39132,0.37283,0.16846,1.39706,2.48398,1.08004,1.13325,0,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568
54,15423.8,1.19942,2.20448,0.9002,1.06631,0,0.60037,0.43429,0.43821,0.27956,0.55209,0.39378,0.3743,0.16778,1.40254,2.52285,1.0811,1.13952,0,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502
55,16210.5,1.19412,2.1958,0.8968,1.0652,0,0.59865,0.43709,0.4379,0.27852,0.55759,0.39334,0.37481,0.16883,1.40285,2.4875,1.08006,1.14182,0,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
56,17001.1,1.1899,2.18608,0.89225,1.06512,0,0.59977,0.43583,0.43869,0.27936,0.55262,0.39452,0.37339,0.16754,1.3961,2.49551,1.08145,1.13621,0,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637
57,17790.6,1.18626,2.18698,0.89076,1.06364,0,0.60224,0.43786,0.43964,0.28042,0.55701,0.39566,0.37558,0.16888,1.39943,2.49152,1.07965,1.13569,0,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304
58,18582.9,1.18199,2.18145,0.88566,1.05832,0,0.60483,0.43622,0.43981,0.2802,0.5559,0.39207,0.37477,0.16884,1.39904,2.49654,1.07511,1.13092,0,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
59,19386.6,1.1822,2.17224,0.88318,1.05981,0,0.60675,0.43315,0.44008,0.28053,0.55435,0.39092,0.37246,0.16748,1.39859,2.50938,1.07739,1.13879,0,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172
60,20185.7,1.17667,2.16516,0.87458,1.05588,0,0.60484,0.43447,0.43835,0.27932,0.55626,0.39577,0.37554,0.16937,1.40353,2.49312,1.07795,1.13941,0,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106
61,20987.5,1.17776,2.16792,0.87838,1.05851,0,0.60095,0.43833,0.44082,0.28192,0.55473,0.39371,0.37434,0.16813,1.39217,2.49864,1.07033,1.13552,0,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
62,21782.2,1.17382,2.15776,0.87184,1.05492,0,0.6123,0.43394,0.44001,0.27966,0.56016,0.39387,0.37508,0.16861,1.39802,2.49387,1.07512,1.13728,0,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974
63,22584.4,1.16789,2.15394,0.86785,1.05348,0,0.60235,0.43822,0.44105,0.27994,0.55109,0.39648,0.3761,0.16907,1.39858,2.47995,1.06907,1.1389,0,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908
64,23390.1,1.17177,2.16423,0.8645,1.05176,0,0.61,0.43669,0.4404,0.27976,0.55546,0.39726,0.37622,0.1693,1.3984,2.47097,1.07274,1.14038,0,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
65,24199.5,1.17026,2.14738,0.86214,1.05044,0,0.60258,0.44019,0.44006,0.27944,0.55438,0.40044,0.37839,0.17165,1.4017,2.47895,1.07263,1.1423,0,0.017328,0.005776,0.017328,0.005776,0.017328,0.005776,0.017328,0.005776
66,24995.9,1.16423,2.15225,0.85745,1.05215,0,0.6073,0.43874,0.44142,0.27985,0.55921,0.39751,0.37859,0.17062,1.39776,2.4682,1.07549,1.13999,0,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571
67,25817.1,1.17846,2.16682,0.86827,1.05416,0,0.60289,0.44018,0.44057,0.28001,0.56116,0.3934,0.37509,0.17033,1.39657,2.4711,1.07304,1.13762,0,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
68,26660.3,1.16964,2.15857,0.86436,1.05227,0,0.60608,0.43971,0.4416,0.28011,0.55746,0.39746,0.37624,0.17083,1.40077,2.465,1.07056,1.14026,0,0.016734,0.005578,0.016734,0.005578,0.016734,0.005578,0.016734,0.005578
69,27508.8,1.16658,2.15693,0.86258,1.05171,0,0.60583,0.43904,0.43995,0.27935,0.55658,0.39562,0.37437,0.16904,1.39737,2.46748,1.07243,1.14074,0,0.016536,0.005512,0.016536,0.005512,0.016536,0.005512,0.016536,0.005512
70,28345.8,1.1637,2.14271,0.86021,1.0495,0,0.60872,0.43819,0.44092,0.28054,0.564,0.39729,0.37861,0.17107,1.39793,2.47614,1.06928,1.14096,0,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
71,29195.9,1.16334,2.1539,0.85826,1.04942,0,0.61326,0.43865,0.44233,0.28146,0.56352,0.39713,0.37656,0.17114,1.39451,2.45679,1.06766,1.14105,0,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538
72,30044.8,1.1615,2.14496,0.85406,1.05037,0,0.6084,0.43841,0.44107,0.27982,0.56306,0.39587,0.37614,0.17024,1.39778,2.47551,1.07201,1.13936,0,0.015942,0.005314,0.015942,0.005314,0.015942,0.005314,0.015942,0.005314
73,30883.9,1.15849,2.1404,0.84967,1.04625,0,0.61395,0.43723,0.43976,0.28069,0.56239,0.39833,0.37679,0.17126,1.39713,2.47875,1.07228,1.13653,0,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
74,31699.8,1.15393,2.12716,0.84396,1.04367,0,0.61321,0.43428,0.44088,0.28133,0.56593,0.39506,0.37875,0.17155,1.3966,2.48675,1.06698,1.14039,0,0.015546,0.005182,0.015546,0.005182,0.015546,0.005182,0.015546,0.005182
75,32524,1.15621,2.13145,0.84579,1.04415,0,0.6202,0.43468,0.44114,0.2815,0.56979,0.39543,0.37903,0.17286,1.39784,2.46607,1.06674,1.14487,0,0.015348,0.005116,0.015348,0.005116,0.015348,0.005116,0.015348,0.005116
76,33346.3,1.15248,2.12964,0.8422,1.04141,0,0.61138,0.43973,0.44147,0.28096,0.56177,0.3983,0.37857,0.17185,1.39738,2.46467,1.06952,1.14165,0,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
77,34162.7,1.15192,2.1234,0.84025,1.0405,0,0.6124,0.43728,0.4403,0.2801,0.56553,0.39695,0.37957,0.17244,1.40115,2.47289,1.06925,1.14364,0,0.014952,0.004984,0.014952,0.004984,0.014952,0.004984,0.014952,0.004984
78,34964.9,1.14171,2.1156,0.83224,1.03928,0,0.61778,0.43545,0.44032,0.27912,0.5649,0.39348,0.37535,0.17134,1.39855,2.4694,1.06816,1.1445,0,0.014754,0.004918,0.014754,0.004918,0.014754,0.004918,0.014754,0.004918
79,35778.9,1.1457,2.11383,0.83513,1.03906,0,0.61306,0.43844,0.44153,0.28009,0.55985,0.39717,0.37621,0.17067,1.39836,2.46639,1.0689,1.14089,0,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
